family_id,left_index,left_split,left_asset,right_index,right_split,right_asset,frames,active_both,mean_joint_distance_cm,max_joint_distance_cm
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,8.409611,17.408087
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,44.651287,70.931282
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,43.175232,66.291351
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,20.182739,34.887421
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,48.812996,80.077965
aim_offset_and_static_pose_shared_root,1,train,M_Neutral_AO_Crouch_X+135_Y-90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,47.588634,78.132133
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,11,True,14.364724,23.367947
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,6.280926,11.113935
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,44.253307,74.523285
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,42.752766,70.049461
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,19.563034,33.843636
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,49.322765,76.583984
aim_offset_and_static_pose_shared_root,2,train,M_Neutral_AO_Crouch_X+135_Y0,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,47.972408,74.63781
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,11,True,5.001973,20.894424
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,7.852954,15.227548
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,33.500072,57.142956
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,32.940166,53.721394
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,7.312594,14.793941
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,47.493076,64.791328
aim_offset_and_static_pose_shared_root,3,train,M_Neutral_AO_Crouch_X+45_Y+90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,46.652802,63.062813
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,5,train,M_Neutral_AO_Crouch_X+45_Y0,11,True,17.006369,26.115906
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,6,train,M_Neutral_AO_Crouch_X+90_Y+90,11,True,10.933387,22.745279
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,7,train,M_Neutral_AO_Crouch_X+90_Y-90,11,True,8.01168,13.805324
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,8.470263,14.671249
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,9,train,M_Neutral_AO_Crouch_X-135_Y+90,11,True,30.998604,50.061096
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,34.94117,55.685444
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,12,train,M_Neutral_AO_Crouch_X-45_Y+90,11,True,16.065157,25.846872
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,13,train,M_Neutral_AO_Crouch_X-45_Y-90,11,True,17.864101,28.220966
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,14,train,M_Neutral_AO_Crouch_X-45_Y0,11,True,16.09976,25.012312
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,15,train,M_Neutral_AO_Crouch_X-90_Y+90,11,True,23.903234,38.00634
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,16,train,M_Neutral_AO_Crouch_X-90_Y-90,11,True,27.879147,47.345562
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,17,train,M_Neutral_AO_Crouch_X-90_Y0,11,True,24.794621,38.22718
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,18,train,M_Neutral_AO_Crouch_X0_Y+90,11,True,8.181313,21.799362
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,19,train,M_Neutral_AO_Crouch_X0_Y-90,11,True,7.859812,14.090469
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,7.209958,14.650954
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,21,train,M_Neutral_AO_Stand_X+135_Y+90,11,True,40.990025,58.656204
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,22,train,M_Neutral_AO_Stand_X+135_Y-90,11,True,41.105293,55.388504
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,23,train,M_Neutral_AO_Stand_X+135_Y0,11,True,40.994759,57.571838
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,24,train,M_Neutral_AO_Stand_X-135_Y+90,11,True,45.302662,58.727634
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,25,train,M_Neutral_AO_Stand_X-135_Y-90,11,True,45.616234,57.906139
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,26,train,M_Neutral_AO_Stand_X-135_Y0,11,True,45.440102,58.642982
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,683,train,M_Neutral_Run_Pose_F_hold,11,True,57.983612,86.115822
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,685,train,M_Neutral_Sprint_Pose_Lean_L_hold,11,True,52.028614,77.379509
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,686,train,M_Neutral_Sprint_Pose_Lean_L_into,11,True,46.856503,66.037224
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,687,train,M_Neutral_Sprint_Pose_Lean_L_out,11,True,48.36813,68.942368
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,688,train,M_Neutral_Sprint_Pose_Lean_R_hold,11,True,45.247616,57.921051
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,689,train,M_Neutral_Sprint_Pose_Lean_R_into,11,True,46.996361,67.423866
